Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
"Gastrointestinal hemorrhage, unspecified",K922,"Gastrointestinal hemorrhage, unspecified",100.0,,"Fuzzy matched to: 'Gastrointestinal hemorrhage, unspecified' with score 100.0"
Other ascites,R188,Other ascites,100.0,,Fuzzy matched to: 'Other ascites' with score 100.0
Dry eye syndrome of bilateral lacrimal glands,H04123,Dry eye syndrome of bilateral lacrimal glands,100.0,,Fuzzy matched to: 'Dry eye syndrome of bilateral lacrimal glands' with score 100.0
"Fall from other slipping, tripping, or stumbling",A1803,Tuberculosis of other bones,85.5,,Fuzzy matched to: 'Tuberculosis of other bones' with score 85.5
Diverticulosis of colon (without mention of hemorrhage),A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Severe sepsis,R6520,Severe sepsis without septic shock,90.0,,Fuzzy matched to: 'Severe sepsis without septic shock' with score 90.0
Pure hypercholesterolemia,E7800,"Pure hypercholesterolemia, unspecified",90.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 90.0"
"Anemia, unspecified",D649,"Anemia, unspecified",100.0,,"Fuzzy matched to: 'Anemia, unspecified' with score 100.0"
Altered mental status,R4182,"Altered mental status, unspecified",90.0,,"Fuzzy matched to: 'Altered mental status, unspecified' with score 90.0"
Blood in stool,A2781,Aseptic meningitis in leptospirosis,85.5,,Fuzzy matched to: 'Aseptic meningitis in leptospirosis' with score 85.5
"Congestive heart failure, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture",B08011,Vaccinia not from vaccine,85.5,,Fuzzy matched to: 'Vaccinia not from vaccine' with score 85.5
"Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use",A028,Other specified salmonella infections,85.5,,Fuzzy matched to: 'Other specified salmonella infections' with score 85.5
Unspecified pleural effusion,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Nontoxic goiter, unspecified",E049,"Nontoxic goiter, unspecified",100.0,,"Fuzzy matched to: 'Nontoxic goiter, unspecified' with score 100.0"
"Pneumonia, organism unspecified",J189,"Pneumonia, unspecified organism",95.0,,"Fuzzy matched to: 'Pneumonia, unspecified organism' with score 95.0"
Other closed transcervical fracture of neck of femur,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Mitral valve disorders,I3489,Other nonrheumatic mitral valve disorders,87.90697674418604,,Fuzzy matched to: 'Other nonrheumatic mitral valve disorders' with score 87.90697674418604
Unspecified acquired hypothyroidism,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Hypothyroidism, unspecified",E039,"Hypothyroidism, unspecified",100.0,,"Fuzzy matched to: 'Hypothyroidism, unspecified' with score 100.0"
Unspecified disorder of thyroid,H319,Unspecified disorder of choroid,93.5483870967742,,Fuzzy matched to: 'Unspecified disorder of choroid' with score 93.5483870967742
Mixed acid-base balance disorder,E874,Mixed disorder of acid-base balance,95.0,,Fuzzy matched to: 'Mixed disorder of acid-base balance' with score 95.0
Nonrheumatic mitral (valve) insufficiency,I340,Nonrheumatic mitral (valve) insufficiency,100.0,,Fuzzy matched to: 'Nonrheumatic mitral (valve) insufficiency' with score 100.0
"Major depressive disorder, single episode, unspecified",F329,"Major depressive disorder, single episode, unspecified",100.0,,"Fuzzy matched to: 'Major depressive disorder, single episode, unspecified' with score 100.0"
"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture",M810,Age-related osteoporosis without current pathological fracture,87.76859504132231,,Fuzzy matched to: 'Age-related osteoporosis without current pathological fracture' with score 87.76859504132231
Septicemia due to anaerobes,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar cholerae' with score 85.5"
Personal history of pneumonia (recurrent),Z8701,Personal history of pneumonia (recurrent),100.0,,Fuzzy matched to: 'Personal history of pneumonia (recurrent)' with score 100.0
"Visual discomfort, bilateral",H53143,"Visual discomfort, bilateral",100.0,,"Fuzzy matched to: 'Visual discomfort, bilateral' with score 100.0"
Sepsis,A400,"Sepsis due to streptococcus, group A",90.0,,"Fuzzy matched to: 'Sepsis due to streptococcus, group A' with score 90.0"
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
"Osteoporosis, unspecified",M879,"Osteonecrosis, unspecified",90.19607843137256,,"Fuzzy matched to: 'Osteonecrosis, unspecified' with score 90.19607843137256"
Other specified disorders of biliary tract,K838,Other specified diseases of biliary tract,91.56626506024097,,Fuzzy matched to: 'Other specified diseases of biliary tract' with score 91.56626506024097
Unspecified dementia without behavioral disturbance,F03A18,"Unspecified dementia, mild, with other behavioral disturbance",89.28571428571429,,"Fuzzy matched to: 'Unspecified dementia, mild, with other behavioral disturbance' with score 89.28571428571429"
"Unspecified injury of head, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Unspecified macular degeneration,H3530,Unspecified macular degeneration,100.0,,Fuzzy matched to: 'Unspecified macular degeneration' with score 100.0
Sicca syndrome,A391,Waterhouse-Friderichsen syndrome,85.5,,Fuzzy matched to: 'Waterhouse-Friderichsen syndrome' with score 85.5
Esophageal reflux,I8500,Esophageal varices without bleeding,85.5,,Fuzzy matched to: 'Esophageal varices without bleeding' with score 85.5
"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",100.0,,"Fuzzy matched to: 'Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 100.0"
"Chronic kidney disease, stage 3 (moderate)",N181,"Chronic kidney disease, stage 1",91.83333333333333,,"Fuzzy matched to: 'Chronic kidney disease, stage 1' with score 91.83333333333333"
Other secondary pulmonary hypertension,I2729,Other secondary pulmonary hypertension,100.0,,Fuzzy matched to: 'Other secondary pulmonary hypertension' with score 100.0
Long term (current) use of insulin,Z794,Long term (current) use of insulin,100.0,,Fuzzy matched to: 'Long term (current) use of insulin' with score 100.0
"Chronic kidney disease, stage 4 (severe)",N184,"Chronic kidney disease, stage 4 (severe)",100.0,,"Fuzzy matched to: 'Chronic kidney disease, stage 4 (severe)' with score 100.0"
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
Hesitancy of micturition,R3911,Hesitancy of micturition,100.0,,Fuzzy matched to: 'Hesitancy of micturition' with score 100.0
Other malaise,R5381,Other malaise,100.0,,Fuzzy matched to: 'Other malaise' with score 100.0
Chronic combined systolic (congestive) and diastolic (congestive) heart failure,I5042,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Chronic combined systolic (congestive) and diastolic (congestive) heart failure' with score 100.0
Type 2 diabetes mellitus with diabetic chronic kidney disease,E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus with diabetic chronic kidney disease' with score 100.0
Hypoxemia,R0902,Hypoxemia,100.0,,Fuzzy matched to: 'Hypoxemia' with score 100.0
Congenital stricture of urethra,Q6432,Congenital stricture of urethra,100.0,,Fuzzy matched to: 'Congenital stricture of urethra' with score 100.0
Hypovolemic shock,R571,Hypovolemic shock,100.0,,Fuzzy matched to: 'Hypovolemic shock' with score 100.0
"Chronic obstructive pulmonary disease, unspecified",J449,"Chronic obstructive pulmonary disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic obstructive pulmonary disease, unspecified' with score 100.0"
"Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y831,"Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",100.0,,"Fuzzy matched to: 'Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 100.0"
Unspecified atrial fibrillation,I4891,Unspecified atrial fibrillation,100.0,,Fuzzy matched to: 'Unspecified atrial fibrillation' with score 100.0
Acute respiratory failure with hypoxia,J9601,Acute respiratory failure with hypoxia,100.0,,Fuzzy matched to: 'Acute respiratory failure with hypoxia' with score 100.0
Type 2 diabetes mellitus with hypoglycemia without coma,E11649,Type 2 diabetes mellitus with hypoglycemia without coma,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus with hypoglycemia without coma' with score 100.0
"Adverse effect of sulfonamides, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Acute on chronic systolic (congestive) heart failure,I5023,Acute on chronic systolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Acute on chronic systolic (congestive) heart failure' with score 100.0
"Adverse effect of anticoagulants, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Personal history of urinary calculi,Z87442,Personal history of urinary calculi,100.0,,Fuzzy matched to: 'Personal history of urinary calculi' with score 100.0
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
Benign prostatic hyperplasia without lower urinary tract symptoms,N400,Benign prostatic hyperplasia without lower urinary tract symptoms,100.0,,Fuzzy matched to: 'Benign prostatic hyperplasia without lower urinary tract symptoms' with score 100.0
Long term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,100.0,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 100.0
Cellulitis of left lower limb,L03116,Cellulitis of left lower limb,100.0,,Fuzzy matched to: 'Cellulitis of left lower limb' with score 100.0
Hypo-osmolality and hyponatremia,E871,Hypo-osmolality and hyponatremia,100.0,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 100.0
Non-ST elevation (NSTEMI) myocardial infarction,I214,Non-ST elevation (NSTEMI) myocardial infarction,100.0,,Fuzzy matched to: 'Non-ST elevation (NSTEMI) myocardial infarction' with score 100.0
Acidosis,E8720,"Acidosis, unspecified",90.0,,"Fuzzy matched to: 'Acidosis, unspecified' with score 90.0"
Adjustment disorder with other symptoms,F4329,Adjustment disorder with other symptoms,100.0,,Fuzzy matched to: 'Adjustment disorder with other symptoms' with score 100.0
Acute kidney failure with tubular necrosis,N170,Acute kidney failure with tubular necrosis,100.0,,Fuzzy matched to: 'Acute kidney failure with tubular necrosis' with score 100.0
"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",100.0,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 100.0"
Other drug-induced agranulocytosis,D702,Other drug-induced agranulocytosis,100.0,,Fuzzy matched to: 'Other drug-induced agranulocytosis' with score 100.0
Benign prostatic hyperplasia with lower urinary tract symptoms,N401,Benign prostatic hyperplasia with lower urinary tract symptoms,100.0,,Fuzzy matched to: 'Benign prostatic hyperplasia with lower urinary tract symptoms' with score 100.0
Other specified bacterial agents as the cause of diseases classified elsewhere,B9689,Other specified bacterial agents as the cause of diseases classified elsewhere,100.0,,Fuzzy matched to: 'Other specified bacterial agents as the cause of diseases classified elsewhere' with score 100.0
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Do not resuscitate,Z66,Do not resuscitate,100.0,,Fuzzy matched to: 'Do not resuscitate' with score 100.0
Melena,K921,Melena,100.0,,Fuzzy matched to: 'Melena' with score 100.0
Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,100.0,,Fuzzy matched to: 'Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere' with score 100.0
"Gout, unspecified",M109,"Gout, unspecified",100.0,,"Fuzzy matched to: 'Gout, unspecified' with score 100.0"
Long term (current) use of antithrombotics/antiplatelets,Z7902,Long term (current) use of antithrombotics/antiplatelets,100.0,,Fuzzy matched to: 'Long term (current) use of antithrombotics/antiplatelets' with score 100.0
"Complication of other artery following a procedure, not elsewhere classified, initial encounter",A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Nonrheumatic aortic (valve) stenosis,I350,Nonrheumatic aortic (valve) stenosis,100.0,,Fuzzy matched to: 'Nonrheumatic aortic (valve) stenosis' with score 100.0
Anuria and oliguria,R34,Anuria and oliguria,100.0,,Fuzzy matched to: 'Anuria and oliguria' with score 100.0
"Encephalopathy, unspecified",G9340,"Encephalopathy, unspecified",100.0,,"Fuzzy matched to: 'Encephalopathy, unspecified' with score 100.0"
"Pleural effusion, not elsewhere classified",J90,"Pleural effusion, not elsewhere classified",100.0,,"Fuzzy matched to: 'Pleural effusion, not elsewhere classified' with score 100.0"
Encounter for examination for normal comparison and control in clinical research program,Z006,Encounter for examination for normal comparison and control in clinical research program,100.0,,Fuzzy matched to: 'Encounter for examination for normal comparison and control in clinical research program' with score 100.0
Other disorders of phosphorus metabolism,E8339,Other disorders of phosphorus metabolism,100.0,,Fuzzy matched to: 'Other disorders of phosphorus metabolism' with score 100.0
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
Unspecified macular degeneration,H3530,Unspecified macular degeneration,100.0,,Fuzzy matched to: 'Unspecified macular degeneration' with score 100.0
"Acute kidney failure, unspecified",N179,"Acute kidney failure, unspecified",100.0,,"Fuzzy matched to: 'Acute kidney failure, unspecified' with score 100.0"
Unspecified place in hospital as the place of occurrence of the external cause,Y92239,Unspecified place in hospital as the place of occurrence of the external cause,100.0,,Fuzzy matched to: 'Unspecified place in hospital as the place of occurrence of the external cause' with score 100.0
Nontraumatic hematoma of soft tissue,M7981,Nontraumatic hematoma of soft tissue,100.0,,Fuzzy matched to: 'Nontraumatic hematoma of soft tissue' with score 100.0
Presence of xenogenic heart valve,Z953,Presence of xenogenic heart valve,100.0,,Fuzzy matched to: 'Presence of xenogenic heart valve' with score 100.0
Hyperkalemia,E875,Hyperkalemia,100.0,,Fuzzy matched to: 'Hyperkalemia' with score 100.0
"Alcohol dependence, in remission",F1021,"Alcohol dependence, in remission",100.0,,"Fuzzy matched to: 'Alcohol dependence, in remission' with score 100.0"
Aneurysm of artery of lower extremity,I724,Aneurysm of artery of lower extremity,100.0,,Fuzzy matched to: 'Aneurysm of artery of lower extremity' with score 100.0
Patient room in hospital as the place of occurrence of the external cause,Y92230,Patient room in hospital as the place of occurrence of the external cause,100.0,,Fuzzy matched to: 'Patient room in hospital as the place of occurrence of the external cause' with score 100.0
Chronic atrial fibrillation,B180,Chronic viral hepatitis B with delta-agent,85.5,,Fuzzy matched to: 'Chronic viral hepatitis B with delta-agent' with score 85.5
Sebaceous cyst,L723,Sebaceous cyst,100.0,,Fuzzy matched to: 'Sebaceous cyst' with score 100.0
"Retention of urine, unspecified",R339,"Retention of urine, unspecified",100.0,,"Fuzzy matched to: 'Retention of urine, unspecified' with score 100.0"
"Epilepsy, unspecified, not intractable, without status epilepticus",G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",100.0,,"Fuzzy matched to: 'Epilepsy, unspecified, not intractable, without status epilepticus' with score 100.0"
Hemangioma of intracranial structures,D1802,Hemangioma of intracranial structures,100.0,,Fuzzy matched to: 'Hemangioma of intracranial structures' with score 100.0
Personal history of malignant neoplasm of thyroid,Z85850,Personal history of malignant neoplasm of thyroid,100.0,,Fuzzy matched to: 'Personal history of malignant neoplasm of thyroid' with score 100.0
"Abdominal pain, unspecified site",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Chronic systolic heart failure,I5022,Chronic systolic (congestive) heart failure,95.0,,Fuzzy matched to: 'Chronic systolic (congestive) heart failure' with score 95.0
Noncompliance with renal dialysis,Z91151,Patient's noncompliance with renal dialysis due to financial hardship,87.27272727272728,,Fuzzy matched to: 'Patient's noncompliance with renal dialysis due to financial hardship' with score 87.27272727272728
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,93.41666666666666,,Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease' with score 93.41666666666666
Other nonspecific abnormal finding of lung field,R918,Other nonspecific abnormal finding of lung field,100.0,,Fuzzy matched to: 'Other nonspecific abnormal finding of lung field' with score 100.0
"Congestive heart failure, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Hyperpotassemia,,,74.07407407407408,"[{'ICD_Code': 'E875', 'ICD_Description': 'Hyperkalemia', 'Score': 74.07407407407408}, {'ICD_Code': 'E8341', 'ICD_Description': 'Hypermagnesemia', 'Score': 73.33333333333334}, {'ICD_Code': 'E221', 'ICD_Description': 'Hyperprolactinemia', 'Score': 72.72727272727273}]",No confident match (top score 74.07407407407408). Suggested alternatives provided.
"Renal sclerosis, unspecified",N269,"Renal sclerosis, unspecified",100.0,,"Fuzzy matched to: 'Renal sclerosis, unspecified' with score 100.0"
Blood in stool,A2781,Aseptic meningitis in leptospirosis,85.5,,Fuzzy matched to: 'Aseptic meningitis in leptospirosis' with score 85.5
"Personal history of noncompliance with medical treatment, presenting hazards to health",A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar cholerae' with score 85.5"
Other encephalopathy,G9349,Other encephalopathy,100.0,,Fuzzy matched to: 'Other encephalopathy' with score 100.0
End stage renal disease,N186,End stage renal disease,100.0,,Fuzzy matched to: 'End stage renal disease' with score 100.0
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
"Alcohol abuse, unspecified",F1090,"Alcohol use, unspecified, uncomplicated",86.4,,"Fuzzy matched to: 'Alcohol use, unspecified, uncomplicated' with score 86.4"
"Other and unspecified alcohol dependence, in remission",F1021,"Alcohol dependence, in remission",88.57142857142858,,"Fuzzy matched to: 'Alcohol dependence, in remission' with score 88.57142857142858"
Anemia in chronic kidney disease,D631,Anemia in chronic kidney disease,100.0,,Fuzzy matched to: 'Anemia in chronic kidney disease' with score 100.0
Renal dialysis status,G40001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus",85.5,,"Fuzzy matched to: 'Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus' with score 85.5"
"Urinary obstruction, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Chronic airway obstruction, not elsewhere classified",A061,Chronic intestinal amebiasis,85.5,,Fuzzy matched to: 'Chronic intestinal amebiasis' with score 85.5
"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",100.0,,"Fuzzy matched to: 'Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 100.0"
"Chronic kidney disease, stage 3 (moderate)",N181,"Chronic kidney disease, stage 1",91.83333333333333,,"Fuzzy matched to: 'Chronic kidney disease, stage 1' with score 91.83333333333333"
Other secondary pulmonary hypertension,I2729,Other secondary pulmonary hypertension,100.0,,Fuzzy matched to: 'Other secondary pulmonary hypertension' with score 100.0
Supraventricular tachycardia,I4719,Other supraventricular tachycardia,87.09677419354838,,Fuzzy matched to: 'Other supraventricular tachycardia' with score 87.09677419354838
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
"Unspecified polyarthropathy or polyarthritis, site unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Chronic systolic (congestive) heart failure,I5022,Chronic systolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Chronic systolic (congestive) heart failure' with score 100.0
Long-term (current) use of aspirin,Z7982,Long term (current) use of aspirin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 97.05882352941177
Hypoxemia,R0902,Hypoxemia,100.0,,Fuzzy matched to: 'Hypoxemia' with score 100.0
Rheumatic disorders of both aortic and tricuspid valves,I082,Rheumatic disorders of both aortic and tricuspid valves,100.0,,Fuzzy matched to: 'Rheumatic disorders of both aortic and tricuspid valves' with score 100.0
Unspecified acquired hypothyroidism,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Chronic obstructive pulmonary disease, unspecified",J449,"Chronic obstructive pulmonary disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic obstructive pulmonary disease, unspecified' with score 100.0"
"Body mass index (BMI) 29.0-29.9, adult",Z6829,"Body mass index [BMI] 29.0-29.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 29.0-29.9, adult' with score 94.73684210526316"
"Hypothyroidism, unspecified",E039,"Hypothyroidism, unspecified",100.0,,"Fuzzy matched to: 'Hypothyroidism, unspecified' with score 100.0"
"Chronic kidney disease, Stage III (moderate)",A061,Chronic intestinal amebiasis,85.5,,Fuzzy matched to: 'Chronic intestinal amebiasis' with score 85.5
Other specified cardiac dysrhythmias,I498,Other specified cardiac arrhythmias,92.95774647887323,,Fuzzy matched to: 'Other specified cardiac arrhythmias' with score 92.95774647887323
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
Obstructive sleep apnea (adult) (pediatric),G4733,Obstructive sleep apnea (adult) (pediatric),100.0,,Fuzzy matched to: 'Obstructive sleep apnea (adult) (pediatric)' with score 100.0
Unspecified sleep apnea,A64,Unspecified sexually transmitted disease,85.5,,Fuzzy matched to: 'Unspecified sexually transmitted disease' with score 85.5
"Dementia, unspecified, without behavioral disturbance",B019,Varicella without complication,85.5,,Fuzzy matched to: 'Varicella without complication' with score 85.5
Difficulty in walking,R262,"Difficulty in walking, not elsewhere classified",90.0,,"Fuzzy matched to: 'Difficulty in walking, not elsewhere classified' with score 90.0"
Intestinal infection due to Clostridium difficile,A232,Brucellosis due to Brucella suis,85.5,,Fuzzy matched to: 'Brucellosis due to Brucella suis' with score 85.5
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other cardiomyopathies,I428,Other cardiomyopathies,100.0,,Fuzzy matched to: 'Other cardiomyopathies' with score 100.0
Personal history of nicotine dependence,Z87891,Personal history of nicotine dependence,100.0,,Fuzzy matched to: 'Personal history of nicotine dependence' with score 100.0
Acute kidney failure with lesion of tubular necrosis,N170,Acute kidney failure with tubular necrosis,95.0,,Fuzzy matched to: 'Acute kidney failure with tubular necrosis' with score 95.0
Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Depressive disorder, not elsewhere classified",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
"Hypotension, unspecified",I959,"Hypotension, unspecified",100.0,,"Fuzzy matched to: 'Hypotension, unspecified' with score 100.0"
"Gout, unspecified",M109,"Gout, unspecified",100.0,,"Fuzzy matched to: 'Gout, unspecified' with score 100.0"
Unspecified disease of pericardium,I318,Other specified diseases of pericardium,87.67123287671232,,Fuzzy matched to: 'Other specified diseases of pericardium' with score 87.67123287671232
Edema,H02841,Edema of right upper eyelid,90.0,,Fuzzy matched to: 'Edema of right upper eyelid' with score 90.0
"Encephalopathy, unspecified",G9340,"Encephalopathy, unspecified",100.0,,"Fuzzy matched to: 'Encephalopathy, unspecified' with score 100.0"
Pneumonitis due to inhalation of food or vomitus,J690,Pneumonitis due to inhalation of food and vomit,92.63157894736842,,Fuzzy matched to: 'Pneumonitis due to inhalation of food and vomit' with score 92.63157894736842
Contusion of hand(s),A154,Tuberculosis of intrathoracic lymph nodes,85.5,,Fuzzy matched to: 'Tuberculosis of intrathoracic lymph nodes' with score 85.5
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
Bite of other animal except arthropod,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
"Congestive heart failure, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Dyskinesia of esophagus,K224,Dyskinesia of esophagus,100.0,,Fuzzy matched to: 'Dyskinesia of esophagus' with score 100.0
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",92.625,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 92.625"
Other primary cardiomyopathies,I428,Other cardiomyopathies,95.0,,Fuzzy matched to: 'Other cardiomyopathies' with score 95.0
"Retention of urine, unspecified",R339,"Retention of urine, unspecified",100.0,,"Fuzzy matched to: 'Retention of urine, unspecified' with score 100.0"
Unspecified pleural effusion,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Altered mental status, unspecified",R4182,"Altered mental status, unspecified",100.0,,"Fuzzy matched to: 'Altered mental status, unspecified' with score 100.0"
"Fever, unspecified",R509,"Fever, unspecified",100.0,,"Fuzzy matched to: 'Fever, unspecified' with score 100.0"
Unspecified psychosis not due to a substance or known physiological condition,F29,Unspecified psychosis not due to a substance or known physiological condition,100.0,,Fuzzy matched to: 'Unspecified psychosis not due to a substance or known physiological condition' with score 100.0
Encounter for immunization,Z23,Encounter for immunization,100.0,,Fuzzy matched to: 'Encounter for immunization' with score 100.0
Personal history of traumatic brain injury,Z87820,Personal history of traumatic brain injury,100.0,,Fuzzy matched to: 'Personal history of traumatic brain injury' with score 100.0
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
